read_count	length
1	114
1	118
1	135
2	137
3	142
1	144
1	149
1	152
2	153
1	154
1	155
1	161
1	169
1	170
1	173
2	177
1	180
3	182
1	183
1	186
6	187
2	188
1	189
2	191
1	192
1	195
1	197
1	198
1	199
1	201
1	204
1	205
2	206
1	209
4	210
1	211
2	212
3	215
1	217
1	218
2	219
2	220
1	221
1	222
1	223
1	224
2	225
4	227
2	228
1	229
1	231
3	232
1	233
3	234
3	236
3	237
1	238
3	239
1	240
1	242
1	243
2	245
3	246
4	247
1	248
1	250
1	251
3	252
3	253
1	254
1	256
1	257
2	258
2	259
3	260
5	261
2	262
1	263
1	264
1	265
2	266
2	267
2	268
2	269
2	270
1	271
1	272
2	274
3	275
3	276
2	277
1	278
1	279
4	280
4	281
3	282
2	283
2	284
1	285
2	286
1	288
1	289
1	290
3	293
2	294
3	295
3	296
2	298
1	299
1	300
2	301
2	302
1	303
1	304
2	305
2	306
3	307
1	308
1	309
1	310
1	311
3	316
1	317
3	318
1	319
3	320
1	321
2	322
1	324
1	325
1	326
1	327
2	328
4	330
3	331
1	332
1	333
3	334
1	335
2	336
2	337
1	338
1	339
2	340
2	341
2	342
3	344
4	345
2	346
2	348
2	349
3	350
1	351
1	352
3	353
3	355
1	356
2	357
2	358
2	360
2	361
1	362
2	363
1	364
2	365
1	366
2	367
2	368
1	370
1	372
1	373
2	374
1	375
2	376
2	377
3	379
2	381
3	382
1	383
1	386
1	387
4	389
2	390
1	391
1	392
2	394
1	395
1	396
1	397
1	398
1	399
2	401
1	404
2	406
1	407
1	410
1	411
2	415
2	418
2	421
2	423
1	424
1	428
1	429
1	430
3	434
2	438
2	439
1	442
2	443
1	448
1	451
1	452
1	454
1	455
1	457
1	463
1	464
1	476
1	487
1	489
1	502
1	506
1	512
1	528
1	529
1	534
1	538
1	541
1	547
1	549
1	569
1	570
1	574
1	578
1	582
1	587
1	590
2	620
1	630
1	632
1	637
1	645
1	653
1	658
1	660
1	675
1	679
1	682
1	716
1	729
1	745
1	766
1	792
1	797
1	820
1	917
1	1057
1	1058
1	1269
